Frequency [Hz]	Impedance Phase [deg]	Impedance Magnitude [ohm]
5	4.4428952664091	5.5370526651126
5.07272667468762	4.49990713696256	5.53824797841136
5.14651118321746	4.55767951122184	5.53946284781486
5.22136891213707	4.61622255065579	5.54069768476739
5.29731547179648	4.67554655935797	5.5419529109084
5.37436669960348	4.7356619862206	5.54322895835929
5.45253866332629	4.79657942715263	5.54452627001901
5.53184766444417	4.85830962734321	5.54584529986878
5.61231024154687	4.9208634835721	5.54718651328621
5.69394317378346	4.98425204656844	5.54855038736921
5.77676348436136	5.04848652341936	5.54993741127005
5.86078844409626	5.11357828003012	5.55134808653986
5.9460355750136	5.17953884363738	5.55278292748401
6.03252265400261	5.2463799053774	5.55424246152876
6.12026771652328	5.31411332291083	5.55572722959955
6.20928906036742	5.38275112310618	5.55723778651141
6.29960524947437	5.45230550478375	5.55877470137193
6.39123511780215	5.52278884152221	5.5603385579972
6.48419777325505	5.59421368452983	5.5619299553413
6.57851260166819	5.66659276558273	5.56354950793976
6.67419927085017	5.73993900003228	5.56519784636757
6.77127773468446	5.81426548988435	5.56687561771234
6.86976823729045	5.8895855269526	5.56858348606305
6.969691317245	5.96591259608874	5.57032213301515
7.07106781186548	6.04326037849238	5.57209225819255
7.173918861555	6.12164275510325	5.5738945797872
7.27826591421094	6.20107381007902	5.57572983511697
7.3841307296975	6.2815678343616	5.57759878120248
7.49153538438341	6.3631393293354	5.57950219536376
7.60050227574557	6.44580301058078	5.58144087583741
7.7110541270397	6.52957381172631	5.58341564241518
7.82321399203887	6.61446688840365	5.58542733710488
7.937005259841	6.7004976223088	5.58747682481438
8.05245165974627	6.78768162537379	5.5895649940598
8.1695772662055	6.8760347440531	5.5916927576989
8.28840650384044	6.96557306372922	5.59386105369065
8.40896415253714	7.05631291324189	5.59607084588213
8.53127535261343	7.14827086954592	5.59832312482395
8.65536561006143	7.24146376250261	5.60061890861535
8.7812608018665	7.33590867981	5.60295924378041
8.90898718140339	7.43162297207746	5.60534520617652
9.03857138391101	7.52862425805037	5.6077779019367
9.17004043204671	7.62693042999095	5.61025846844723
9.30342174152147	7.72655965922131	5.61278807536209
9.43874312681693	7.82753040183549	5.61536792565602
9.57603280698574	7.92986140458728	5.61799925671775
9.71531941153606	8.03357171096087	5.62068334148545
9.85663198640188	8.13868066743184	5.6234214896262
10	8.24520792992646	5.62621504876157
10.1454533493752	8.35317347048715	5.62906540574146
10.2930223664349	8.462597584153	5.6319739879685
10.4427378242741	8.57350089606386	5.63494226477544
10.594630943593	8.68590436879771	5.6379717488579
