Frequency [Hz]	Total Phase [deg]	Total SPL 2pi [dB]
5	166.730994302656	45.1421154077288
5.07272667468762	166.792251453116	45.3877667593772
5.14651118321746	166.85111956828	45.6335207351947
5.22136891213707	166.907605100972	45.879374372578
5.29731547179648	166.961714328215	46.1253247855528
5.37436669960348	167.013453340883	46.3713691634326
5.45253866332629	167.062828033705	46.6175047694973
5.53184766444417	167.109844095603	46.8637289396899
5.61231024154687	167.154507000338	47.1100390813338
5.69394317378346	167.196821997461	47.3564326718718
5.77676348436136	167.236794103555	47.6029072576274
5.86078844409626	167.274428093742	47.8494604525891
5.9460355750136	167.309728493462	48.0960899372193
6.03252265400261	167.342699570487	48.3427934572876
6.12026771652328	167.373345327177	48.5895688227297
6.20928906036742	167.40166949295	48.8364139065332
6.29960524947437	167.427675516963	49.0833266436489
6.39123511780215	167.451366560986	49.330305029931
6.48419777325505	167.472745492456	49.5773471211039
6.57851260166819	167.491814877704	49.824451031758
6.67419927085017	167.508576975336	50.0716149343737
6.77127773468446	167.523033729761	50.3188370583756
6.86976823729045	167.535186764846	50.5661156892147
6.969691317245	167.545037377705	50.8134491674817
7.07106781186548	167.55258653258	51.0608358880494
7.173918861555	167.557834854835	51.3082742992463
7.27826591421094	167.560782625027	51.5557629020601
7.3841307296975	167.561429773056	51.8033002493723
7.49153538438341	167.559775872376	52.0508849452242
7.60050227574557	167.55582013426	52.2985156441131
7.7110541270397	167.549561402109	52.5461910503213
7.82321399203887	167.540998145779	52.7939099172747
7.937005259841	167.530128455947	53.0416710469354
8.05245165974627	167.516950038464	53.2894732892236
8.1695772662055	167.501460208721	53.5373155414734
8.28840650384044	167.483655885989	53.7851967479194
8.40896415253714	167.463533587745	54.0331158992159
8.53127535261343	167.441089423948	54.281072031988
8.65536561006143	167.416319091283	54.5290642284153
8.7812608018665	167.389217867334	54.7770916158472
8.90898718140339	167.359780604689	55.0251533664518
9.03857138391101	167.328001724972	55.273248696896
9.17004043204671	167.293875212769	55.5213768680588
9.30342174152147	167.257394609462	55.7695371847774
9.43874312681693	167.218553006933	56.0177289956251
9.57603280698574	167.177343041153	56.2659516927229
9.71531941153606	167.133756885617	56.514204711583
9.85663198640188	167.087786244637	56.7624875309857
10	167.03942234646	57.0107996728885
10.1454533493752	166.988655936208	57.259140702369
10.2930223664349	166.935477268633	57.5075102275995
10.4427378242741	166.879876100652	57.7559078998558
10.594630943593	166.821841683676	58.0043334135579
10.748733399207	166.761362755693	58.2527865063442
10.9050773266526	166.698427533104	58.5012669591788
11.0636953288883	166.633023702299	58.7497745964913
11.2246204830937	166.565138410947	58.9983092863501
11.3878863475669	166.494758258987	59.2468709406683
11.5535269687227	166.421869289312	59.4954595154429
11.7215768881925	166.346456978117	59.7440750110262
11.8920711500272	166.268506224898	59.9927174724311
12.0650453080052	166.188001342083	60.2413869896678
12.2405354330466	166.104926044275	60.4900836981146
12.4185781207348	166.019263437095	60.73880777892
12.5992104989487	165.93099600558	60.9875594594378
12.7824702356043	165.840105602152	61.236339013694
12.9683955465101	165.746573434097	61.4851467628862
13.1570252033364	165.65038005056	61.7339830759141
13.3483985417003	165.55150532901	61.9828483699415
13.5425554693689	165.449928461169	62.2317431109898
13.7395364745809	165.345627938363	62.4806678145615
13.93938263449	165.238581536273	62.7296230462944
14.142135623731	165.128766299058	62.978609422645
14.34783772311	165.016158522824	63.2276276116012
14.5565318284219	164.900733738396	63.4766783334235
14.768261459395	164.782466693372	63.7257623614135
14.9830707687668	164.661331333418	63.9748805227093
15.2010045514911	164.537300782771	64.224033699107
15.4221082540794	164.410347323912	64.4732228279062
15.6464279840777	164.28044237637	64.7224489027797
15.874010519682	164.147556474615	64.9717129746654
16.1049033194925	164.011659245002	65.2210161526782
16.339154532411	163.872719381712	65.4703596050421
16.5768130076809	163.730704621653	65.7197445600382
16.8179283050743	163.585581718271	65.9691723069694
17.0625507052269	163.437316414209	66.2186441971369
17.3107312201229	163.285873412776	66.4681616448278
17.562521603733	163.131216348159	66.7177261283109
17.8179743628068	162.973307754325	66.9673391908366
18.077142767822	162.812109032546	67.2170024416391
18.3400808640934	162.647580417491	67.4667175569362
18.6068434830429	162.479680941813	67.7164862809237
18.8774862536339	162.308368399155	67.9663104267591
19.1520656139715	162.133599305512	68.2161918775303
19.4306388230721	161.95532885887	68.466132587205
19.7132639728038	161.773510897029	68.7161345815533
20	161.588097853545	68.9661999590388
20.2909066987505	161.399040711687	69.2163308916714
20.5860447328698	161.20628895632	69.4665296258129
20.8854756485483	161.009790523625	69.7167984829297
21.1892618871859	160.809491748547	69.9671398602814
21.4974667984139	160.60533730986	70.2175562315378
21.8101546533052	160.397270172758	70.4680501473121
22.1273906577767	160.185231528832	70.7186242356002
22.4492409661875	159.969160733326	70.9692812021133
