Frequency [Hz]	Total Phase [deg]	Vent 1 SPL [dB]	Total SPL 2pi [dB]
5	-61.0896385104163	59.7249653532643	20.3162723836709
5.07272667468762	-60.8823995612151	59.9722486087142	20.7708561084171
5.14651118321746	-60.682059399938	60.2194632978299	21.2262153942259
5.22136891213707	-60.4887169066417	60.4666080101215	21.6823398438753
5.29731547179648	-60.3024701851846	60.713681305415	22.1392188486445
5.37436669960348	-60.1234165446222	60.9606817131304	22.5968415977693
5.45253866332629	-59.9516524843695	61.2076077315322	23.0551970879692
5.53184766444417	-59.7872736831296	61.4544578269468	23.5142741330199
5.61231024154687	-59.630374991581	61.7012304329474	23.9740613733381
5.69394317378346	-59.4810504287906	61.9479239495031	24.4345472855513
5.77676348436136	-59.3393931823294	62.1945367420894	24.8957201920236
5.86078844409626	-59.2054956120471	62.4410671407585	25.3575682703074
5.9460355750136	-59.0794492574587	62.6875134391658	25.8200795624983
6.03252265400261	-58.9613448486722	62.9338738935499	26.2832419844621
6.12026771652328	-58.8512723208186	63.1801467216627	26.7470433349127
6.20928906036742	-58.7493208318988	63.4263301016472	27.2114713043133
6.29960524947437	-58.6555787839617	63.6724221708575	27.6765134835799
6.39123511780215	-58.5701338475589	63.9184210246186	28.1421573725626
6.48419777325505	-58.4930729893667	64.1643247149219	28.6083903882855
6.57851260166819	-58.4244825028961	64.4101312490505	29.0751998729227
6.67419927085017	-58.3644480421987	64.6558385881314	29.5425731014917
6.77127773468446	-58.3130546584723	64.901444645608	30.0104972892458
6.86976823729045	-58.2703868394625	65.1469472856286	30.4789595987486
6.969691317245	-58.2365285515716	65.3923443213446	30.9479471466109
7.07106781186548	-58.2115632845673	65.6376335131125	31.4174470098797
7.173918861555	-58.1955740987863	65.8828125665928	31.8874462320574
7.27826591421094	-58.1886436747468	66.12787913074	32.3579318287438
7.3841307296975	-58.1908543650494	66.3728307956744	32.8288907928811
7.49153538438341	-58.2022882484755	66.6176650904305	33.3003100995952
7.60050227574557	-58.2230271861884	66.8623794805709	33.7721767106149
7.7110541270397	-58.2531528799217	67.106971365659	34.2444775782632
7.82321399203887	-58.292746932072	67.3514380765806	34.7171996490044
7.937005259841	-58.3418909075901	67.5957768727039	35.1903298665392
8.05245165974627	-58.4006663975777	67.8399849388683	35.6638551744363
8.1695772662055	-58.4691550844987	68.0840593821901	36.1377625182902
8.28840650384044	-58.5474388089028	68.3279972286744	36.612038847395
8.40896415253714	-58.6355996375808	68.57179541962	37.0866711159239
8.53127535261343	-58.7337199330568	68.8154508078041	37.5616462836048
8.65536561006143	-58.8418824243231	69.0589601534345	38.0369513158813
8.7812608018665	-58.9601702787417	69.3023201198523	38.5125731835491
8.90898718140339	-59.0886671750087	69.5455272689729	38.9884988618575
9.03857138391101	-59.2274573771126	69.7885780564456	39.4647153290637
9.17004043204671	-59.3766258091813	70.0314688265188	39.9412095644309
9.30342174152147	-59.536258131142	70.2741958065896	40.4179685456566
9.43874312681693	-59.7064408150996	70.5167551014217	40.8949792457193
9.57603280698574	-59.8872612223473	70.7591426870103	41.3722286291313
9.71531941153606	-60.0788076809073	71.0013544040746	41.8497036475844
9.85663198640188	-60.2811695635187	71.243385951157	42.3273912349719
10	-60.4944373659633	71.4852328773049	42.8052783017758
10.1454533493752	-60.7187027856316	71.726890574314	43.2833517288007
10.2930223664349	-60.9540588002139	71.9683542685077	43.7615983602378
10.4427378242741	-61.2005997464098	72.209619012028	44.2400049960441
10.594630943593	-61.4584213985281	72.4506796736112	44.7185583836154
10.748733399207	-61.7276210468452	72.6915309288232	45.1972452087359
10.9050773266526	-62.0082975755885	72.9321672497243	45.6760520857844
11.0636953288883	-62.3005515403895	73.1725828939366	46.1549655471744
11.2246204830937	-62.6044852450463	73.4127718930842	46.6339720320084
11.3878863475669	-62.9202028174187	73.652728040575	47.1130578739226
11.5535269687227	-63.2478102842698	73.8924448786949	47.5922092880991
11.7215768881925	-63.5874156448437	74.1319156849821	48.071412357421
11.8920711500272	-63.9391289429608	74.3711334578487	48.5506530177466
12.0650453080052	-64.3030623373833	74.6100909014195	49.0299170422769
12.2405354330466	-64.6793301701936	74.8487804095539	49.5091900249917
12.4185781207348	-65.0680490328956	75.0871940490188	49.9884573631271
12.5992104989487	-65.4693378299313	75.3253235417809	50.4677042386711
12.7824702356043	-65.8833178392774	75.5631602463856	50.9469155988499
12.9683955465101	-66.3101127697574	75.8006951383923	51.4260761355815
13.1570252033364	-66.7498488146767	76.037918789835	51.9051702638711
13.3483985417003	-67.2026547013583	76.2748213476806	52.3841820991269
13.5425554693689	-67.668661736116	76.5113925112558	52.8630954333733
13.7395364745809	-68.1480038441791	76.7476215086201	53.3418937103437
13.93938263449	-68.6408176040337	76.98349707186	53.820559999434
14.142135623731	-69.1472422756146	77.219007411287	54.2990769685039
14.34783772311	-69.6674198217395	77.4541401885229	54.7774268555152
14.5565318284219	-70.2014949221361	77.6888824884615	55.2555914390001
14.768261459395	-70.7496149793691	77.9232207901001	55.7335520073579
14.9830707687668	-71.3119301159321	78.1571409362423	56.2112893269858
15.2010045514911	-71.888593161724	78.3906281020761	56.6887836092518
15.4221082540794	-72.4797596310874	78.6236667626434	57.1660144763303
15.6464279840777	-73.085587688539	78.8562406592235	57.6429609259252
15.874010519682	-73.7062381022803	79.0883327646621	58.1196012949186
16.1049033194925	-74.3418741845367	79.3199252476907	58.5959132219894
16.339154532411	-74.9926617177284	79.5509994362916	59.0718736092629
16.5768130076809	-75.6587688654436	79.7815357801762	59.5474585830631
16.8179283050743	-76.3403660671506	80.0115138124637	60.0226434538533
17.0625507052269	-77.0376259155524	80.2409121106569	60.4974026754697
17.3107312201229	-77.7507230154715	80.469708257036	60.9717098037675
17.562521603733	-78.4798338231325	80.697878798606	61.4455374548193
17.8179743628068	-79.2251364647059	80.9253992067568	61.9188572628272
18.077142767822	-79.986810532981	81.1522438368172	62.3916398379316
18.3400808640934	-80.7650368610503	81.378385887707	62.8638547241216
18.6068434830429	-81.559997271922	81.603797361919	63.3354703574838
