Frequency [Hz]	Impedance Phase [deg]	Impedance Magnitude [ohm]
5	18.0644638648261	5.78276218666023
5.07272667468762	18.3157305428063	5.79264743804464
5.14651118321746	18.570444946462	5.80282449526136
5.22136891213707	18.8286522947276	5.81330304468624
5.29731547179648	19.0903983195657	5.82409314530729
5.37436669960348	19.3557292679175	5.83520524599533
5.45253866332629	19.6246919033644	5.84665020374864
5.53184766444417	19.8973335074713	5.85843930297676
5.61231024154687	20.173701880778	5.87058427589391
5.69394317378346	20.4538453434036	5.88309732409774
5.77676348436136	20.7378127352217	5.89599114141529
5.86078844409626	21.0256534155652	5.90927893810433
5.9460355750136	21.3174172624106	5.92297446650559
6.03252265400261	21.6131546709899	5.93709204824889
6.12026771652328	21.9129165517716	5.95164660312478
6.20928906036742	22.2167543277471	5.96665367974243
6.29960524947437	22.5247199309524	5.98212948810463
6.39123511780215	22.8368657981474	5.99809093424183
6.48419777325505	23.1532448655685	6.01455565705915
6.57851260166819	23.4739105626594	6.03154206756361
6.67419927085017	23.7989168046797	6.0490693906535
6.77127773468446	24.1283179840747	6.06715770966741
6.86976823729045	24.4621689604839	6.08582801390857
6.969691317245	24.8005250492485	6.10510224937897
7.07106781186548	25.143442008267	6.12500337297941
7.173918861555	25.4909760230305	6.14555541045496
7.27826591421094	25.8431836896519	6.16678351839134
7.3841307296975	26.2001219956859	6.18871405059635
7.49153538438341	26.5618482985123	6.21137462923237
7.60050227574557	26.928420301032	6.23479422110098
7.7110541270397	27.2998960244018	6.25900321951981
7.82321399203887	27.6763337774977	6.28403353227512
7.937005259841	28.0577921227711	6.30991867618168
8.05245165974627	28.4443298381192	6.33669387883517
8.1695772662055	28.8360058743538	6.36439618820208
8.28840650384044	29.2328793078043	6.39306459075885
8.40896415253714	29.6350092875413	6.4227401389663
8.53127535261343	30.0424549766472	6.4534660889492
8.65536561006143	30.4552754868984	6.48528804934379
8.7812608018665	30.873529806149	6.51825414238158
8.90898718140339	31.2972767176246	6.55241517839501
9.03857138391101	31.7265747102442	6.58782484506386
9.17004043204671	32.161481878984	6.62453991287059
9.30342174152147	32.6020558141788	6.66262045840192
9.43874312681693	33.0483534785276	6.70213010732495
9.57603280698574	33.5004310704168	6.74313629908302
9.71531941153606	33.9583438720069	6.7857105756019
9.85663198640188	34.4221460803361	6.82992889657669
10	34.8918906194723	6.87587198422803
10.1454533493752	35.3676289314977	6.92362570077973
10.2930223664349	35.8494107438217	6.97328146232527
10.4427378242741	36.3372838099918	7.02493669322691
10.594630943593	36.8312936207975	7.07869532573767
10.748733399207	37.3314830820274	7.13466835016558
10.9050773266526	37.8378921547466	7.19297442162498
11.0636953288883	38.350557453384	7.25374053025799
11.2246204830937	38.869511796257	7.31710274278067
11.3878863475669	39.3947837023867	7.38320702433649
11.5535269687227	39.9263968275643	7.45221015095272
11.7215768881925	40.4643693315787	7.52428072442861
11.8920711500272	41.0087131672933	7.5996003032781
12.0650453080052	41.5594332808271	7.67836466545534
12.2405354330466	42.1165267104007	7.76078522106931
12.4185781207348	42.679981569422	7.8470905962193
12.5992104989487	43.2497758970226	7.93752841254651
12.7824702356043	43.8258763564574	8.03236729121156
