Frequency [Hz]	Impedance Phase [deg]	Impedance Magnitude [ohm]
5	17.7812868123132	5.76888069327491
5.07272667468762	18.0205015635666	5.77803102646013
5.14651118321746	18.2626639854233	5.78743154101873
5.22136891213707	18.5077994488231	5.79708944767206
5.29731547179648	18.7559331131868	5.80701217613231
5.37436669960348	19.0070899064543	5.81720738238437
5.45253866332629	19.2612945045185	5.82768295625217
5.53184766444417	19.518571310052	5.8384470292637
5.61231024154687	19.7789444307246	5.84950798282925
5.69394317378346	20.04243765681	5.86087445674862
5.77676348436136	20.3090744381815	5.87255535806384
5.86078844409626	20.578877860698	5.88455987027507
5.9460355750136	20.8518706219811	5.89689746293845
6.03252265400261	21.1280750065872	5.90957790166575
6.12026771652328	21.4075128605782	5.92261125854707
6.20928906036742	21.6902055654959	5.93600792301909
6.29960524947437	21.9761740117468	5.949778613203
6.39123511780215	22.2654385714054	5.96393438773743
6.48419777325505	22.5580190704435	5.97848665813404
6.57851260166819	22.8539347603986	5.99344720168437
6.67419927085017	23.1532042894896	6.00882817494936
6.77127773468446	23.4558456731955	6.02464212786441
6.86976823729045	23.7618762643104	6.04090201849542
6.969691317245	24.07131272249	6.0576212284835
7.07106781186548	24.3841709833068	6.07481357921884
7.173918861555	24.7004662268329	6.0924933487868
7.27826591421094	25.0202128457681	6.11067528973248
7.3841307296975	25.343424413136	6.12937464769325
7.49153538438341	25.6701136495674	6.14860718095211
7.60050227574557	26.0002923901951	6.16838918096889
7.7110541270397	26.3339715511837	6.18873749394979
7.82321399203887	26.6711610959169	6.20966954352106
7.937005259841	27.0118700008691	6.23120335457638
8.05245165974627	27.3561062211854	6.25335757837369
8.1695772662055	27.7038766559947	6.27615151896206
8.28840650384044	28.0551871134832	6.29960516102561
8.40896415253714	28.4100422757513	6.32373919923815
8.53127535261343	28.7684456634792	6.34857506922896
8.65536561006143	29.1303996004249	6.37413498026842
8.7812608018665	29.4959051777758	6.40044194978994
8.90898718140339	29.8649622183754	6.4275198398745
9.03857138391101	30.2375692408424	6.45539339583329
9.17004043204671	30.6137234235984	6.48408828703533
9.30342174152147	30.9934205688157	6.51363115013842
9.43874312681693	31.3766550662939	6.54404963489444
9.57603280698574	31.7634198572699	6.5753724527144
9.71531941153606	32.1537063981582	6.60762942819334
9.85663198640188	32.5475046242152	6.64085155381229
10	32.9448029131128	6.67507104805224
10.1454533493752	33.3455880483977	6.71032141717528
10.2930223664349	33.7498451828071	6.7466375209497
10.4427378242741	34.1575578013967	6.7840556426195
10.594630943593	34.5687076844297	6.82261356344531
10.748733399207	34.9832748699607	6.86235064217201
10.9050773266526	35.4012376160338	6.90330789981012
11.0636953288883	35.8225723624003	6.94552811015271
11.2246204830937	36.2472536916413	6.98905589648757
11.3878863475669	36.6752542895631	7.03393783500687
11.5535269687227	37.1065449047108	7.08022256546255
11.7215768881925	37.54109430682	7.12796090966733
11.8920711500272	37.9788692440031	7.17720599849783
12.0650453080052	38.4198343984351	7.22801340811911
12.2405354330466	38.8639523402708	7.28044130621957
12.4185781207348	39.3111834794918	7.33455060912256
12.5992104989487	39.7614860153403	7.39040515072667
12.7824702356043	40.2148158829525	7.44807186432233
12.9683955465101	40.6711266967577	7.50762097843878
13.1570252033364	41.1303696901539	7.56912622799404
13.3483985417003	41.5924936509113	7.63266508215316
13.5425554693689	42.0574448516902	7.6983189904482
13.7395364745809	42.5251669749845	7.76617364887953
13.93938263449	42.9956010317227	7.83631928790432
14.142135623731	43.4686852726646	7.90885098442718
14.34783772311	43.9443550916335	7.98386900014367
14.5565318284219	44.4225429195064	8.06147914885225
14.768261459395	44.9031781077617	8.1417931956502
14.9830707687668	45.3861868002376	8.22492929126711
15.2010045514911	45.8714917915959	8.31101244517314
15.4221082540794	46.3590123708036	8.40017504153433
15.6464279840777	46.8486641477413	8.49255740258109
15.874010519682	47.3403588608146	8.58830840451928
16.1049033194925	47.8340041631823	8.68758615175481
16.339154532411	48.3295033849148	8.79055871593673
16.5768130076809	48.8267552680564	8.89740494716403
16.8179283050743	49.325653671172	9.00831536566545
17.0625507052269	49.8260872395126	9.12349314337087
17.3107312201229	50.3279390364163	9.24315518607083
17.562521603733	50.8310861309713	9.36753332833713
17.8179743628068	51.3353991362752	9.49687565508699
18.077142767822	51.8407416918333	9.63144796565719
18.3400808640934	52.3469698827108	9.77153539856269
18.6068434830429	52.853931586974	9.91744423780709
18.8774862536339	53.3614657416959	10.0695039247608
19.1520656139715	53.8694015163199	10.2280693033162
19.4306388230721	54.3775573804347	10.3935231303712
19.7132639728038	54.8857400509612	10.5662788888162
20	55.3937433013179	10.7467839462591
20.2909066987505	55.9013466122445	10.935523109915
20.5860447328698	56.4083136405208	11.1330226366517
20.8854756485483	56.9143904777001	11.3398547674129
21.1892618871859	57.4193036660344	11.5566428675053
21.4974667984139	57.9227579328127	11.7840672689973
21.8101546533052	58.4244335971288	12.0228719293015
22.1273906577767	58.9239835943437	12.2738720416311
22.4492409661875	59.4210300528316	12.5379627593409
22.7757726951338	59.9151603445198	12.8161292283495
23.1070539374455	60.4059225146283	13.1094581613733
23.443153776385	60.8928199761013	13.4191512364887
23.7841423000544	61.3753053294627	13.7465406630369
24.1300906160104	61.8527731378844	14.0931073332846
24.4810708660931	62.3245514483682	14.4605020727335
24.8371562414697	62.7898918007898	14.8505706210116
25.1984209978975	63.2479574040321	15.2653831261424
25.5649404712086	63.6978090784219	15.7072691273606
25.9367910930202	64.1383884605506	16.1788592485047
26.3140504066728	64.56849783272	16.6831351429533
26.6967970834007	64.9867757642031	17.2234896460302
27.0851109387379	65.3916675207658	17.8037996347134
27.4790729491618	65.7813888921391	18.4285148129819
27.87876526898	66.1538816756722	19.1027665980567
28.2842712474619	66.5067584972388	19.8325025682521
28.69567544622	66.8372338883827	20.6246536755656
29.1130636568437	67.1420374850813	21.4873438103742
29.53652291879	67.417303740149	22.4301546004632
29.9661415375336	67.6584304558071	23.4644629270044
30.4020091029823	67.8598954524902	24.6038751321749
30.8442165081588	68.0150163422121	25.8647911555521
31.2928559681555	68.1156319599733	27.2671451985818
31.748021039364	68.1516743923999	28.8353890047605
32.2098066389851	68.1105858914731	30.5998125612731
32.678309064822	67.976512237867	32.598339725328
33.1536260153617	67.7291682217011	34.8790001437091
33.6358566101486	67.3422131182195	37.5033743984871
