Frequency [Hz]	Total Phase [deg]	Total SPL 2pi [dB]
5	161.559170159936	59.5101279745596
5.07272667468762	161.310053232701	59.7512231075336
5.14651118321746	161.057830626673	59.9920837482271
5.22136891213707	160.802474030751	60.2327044592417
5.29731547179648	160.543955272395	60.4730796990376
5.37436669960348	160.282246335051	60.7132038211653
5.45253866332629	160.017319376067	60.9530710735602
5.53184766444417	159.749146745101	61.1926755979051
5.61231024154687	159.477701003005	61.4320114290649
5.69394317378346	159.202954941197	61.6710724945973
5.77676348436136	158.924881601497	61.9098526143443
5.86078844409626	158.643454296432	62.1483455001087
5.9460355750136	158.358646629994	62.3865447554216
6.03252265400261	158.070432518837	62.624443875403
6.12026771652328	157.77878621391	62.8620362467231
6.20928906036742	157.4836823225	63.0993151476669
6.29960524947437	157.185095830675	63.3362737483083
6.39123511780215	156.883002126106	63.5729051107982
6.48419777325505	156.577377021255	63.8092021897708
6.57851260166819	156.268196776891	64.0451578328746
6.67419927085017	155.955438125925	64.2807647814309
6.77127773468446	155.639078297531	64.5160156712268
6.86976823729045	155.319095041522	64.7509030334455
6.969691317245	154.995466652954	64.9854192957404
7.07106781186548	154.668171996922	65.2195567834564
7.173918861555	154.337190533513	65.4533077210036
7.27826591421094	154.002502342882	65.6866642333874
7.3841307296975	153.664088150394	65.9196183478996
7.49153538438341	153.321929351819	66.1521619959746
7.60050227574557	152.9760080385	66.3842870152141
7.7110541270397	152.62630702247	66.6159851515847
7.82321399203887	152.272809861461	66.8472480617909
7.937005259841	151.915500883744	67.0780673158274
8.05245165974627	151.554365212759	67.3084343997129
8.1695772662055	151.189388791464	67.5383407184085
8.28840650384044	150.820558406352	67.7677775989222
8.40896415253714	150.447861711064	67.9967362936008
8.53127535261343	150.071287249547	68.2252079836121
8.65536561006143	149.690824478679	68.4531837826158
8.7812608018665	149.306463790293	68.6806547406254
8.90898718140339	148.918196532536	68.9076118480599
9.03857138391101	148.52601503049	69.1340460399839
9.17004043204671	148.129912605974	69.3599482005364
9.30342174152147	147.72988359646	69.5853091675442
9.43874312681693	147.32592337302	69.8101197373188
9.57603280698574	146.918028357239	70.0343706696327
9.71531941153606	146.506196037001	70.2580526928706
9.85663198640188	146.09042498108	70.4811565093523
10	145.67071485246	70.7036728008193
10.1454533493752	145.247066420293	70.925592234081
10.2930223664349	144.819481570436	71.1469054668125
10.4427378242741	144.387963314474	71.3676031534952
10.594630943593	143.952515797166	71.5876759514937
10.748733399207	143.513144302229	71.8071145272565
10.9050773266526	143.069855256401	72.0259095626328
11.0636953288883	142.622656231701	72.2440517612924
11.2246204830937	142.171555945828	72.4615318552379
11.3878863475669	141.71656426063	72.6783406113945
11.5535269687227	141.257692178587	72.8944688382663
11.7215768881925	140.794951837244	73.1099073926424
11.8920711500272	140.328356501553	73.3246471863384
12.0650453080052	139.857920554069	73.5386791929572
12.2405354330466	139.383659482958	73.7519944546532
12.4185781207348	138.905589867782	73.9645840888805
12.5992104989487	138.423729363033	74.1764392951092
12.7824702356043	137.938096679384	74.3875513614899
12.9683955465101	137.44871156265	74.5979116714472
13.1570252033364	136.955594770438	74.8075117101836
13.3483985417003	136.458768046489	75.0163430710722
13.5425554693689	135.958254092714	75.2243974619186
13.7395364745809	135.454076538937	75.4316667110711
13.93938263449	134.946259910366	75.6381427733585
14.142135623731	134.434829592822	75.843817735833
14.34783772311	133.91981179576	76.0486838232987
14.5565318284219	133.401233513132	76.2527334036039
14.768261459395	132.879122482147	76.4559589926747
14.9830707687668	132.35350713999	76.6583532592717
15.2010045514911	131.824416578582	76.8599090294467
15.4221082540794	131.291880497444	77.0606192906802
15.6464279840777	130.755929154782	77.2604771956801
15.874010519682	130.216593316877	77.4594760658218
16.1049033194925	129.673904205885	77.6576093942118
16.339154532411	129.127893446184	77.8548708483556
16.5768130076809	128.578593009376	78.0512542724155
16.8179283050743	128.026035158081	78.2467536890388
17.0625507052269	127.470252388676	78.4413633007445
17.3107312201229	126.911277373111	78.6350774908525
17.562521603733	126.349142899974	78.8278908239435
17.8179743628068	125.783881814956	79.0197980458376
