Frequency [Hz]	Total Phase [deg]	Vent 2 SPL [dB]	Total SPL 2pi [dB]
5	166.255735660802	45.2401214277006	45.2401214277006
5.07272667468762	166.309577160031	45.4888411141154	45.4888411141154
5.14651118321746	166.3608990351	45.7377543718704	45.7377543718704
5.22136891213707	166.409704808333	45.9868609659467	45.9868609659467
5.29731547179648	166.45599773585	46.2361608216833	46.2361608216833
5.37436669960348	166.499780793618	46.4856540261235	46.4856540261235
5.45253866332629	166.541056663701	46.7353408294724	46.7353408294724
5.53184766444417	166.579827720652	46.9852216466704	46.9852216466704
5.61231024154687	166.616096018037	47.2352970590872	47.2352970590872
5.69394317378346	166.649863275074	47.4855678163433	47.4855678163433
5.77676348436136	166.681130863353	47.7360348382608	47.7360348382608
5.86078844409626	166.709899793609	47.9866992169523	47.9866992169523
5.9460355750136	166.736170702538	48.2375622190501	48.2375622190501
6.03252265400261	166.759943839618	48.4886252880845	48.4886252880845
6.12026771652328	166.781219053913	48.739890047013	48.739890047013
6.20928906036742	166.799995780833	48.9913583009108	48.9913583009108
6.29960524947437	166.816273028823	49.2430320398243	49.2430320398243
6.39123511780215	166.830049365954	49.4949134417974	49.4949134417974
6.48419777325505	166.841322906391	49.747004876075	49.747004876075
6.57851260166819	166.850091296693	49.9993089064918	49.9993089064918
6.67419927085017	166.856351701938	50.2518282950523	50.2518282950523
6.77127773468446	166.860100791624	50.5045660057106	50.5045660057106
6.86976823729045	166.861334725324	50.7575252083572	50.7575252083572
6.969691317245	166.860049138048	51.0107092830202	51.0107092830202
7.07106781186548	166.856239125304	51.2641218242906	51.2641218242906
7.173918861555	166.849899227784	51.51776664598	51.51776664598
7.27826591421094	166.841023415677	51.7716477860188	51.7716477860188
7.3841307296975	166.829605072542	52.0257695116071	52.0257695116071
7.49153538438341	166.815636978717	52.2801363246259	52.2801363246259
7.60050227574557	166.799111294204	52.534752967321	52.534752967321
7.7110541270397	166.780019541012	52.7896244282704	52.7896244282704
7.82321399203887	166.758352584885	53.0447559486462	53.0447559486462
7.937005259841	166.734100616381	53.3001530287853	53.3001530287853
8.05245165974627	166.707253131251	53.5558214350802	53.5558214350802
8.1695772662055	166.677798910053	53.8117672072051	53.8117672072051
8.28840650384044	166.64572599696	54.0679966656906	54.0679966656906
8.40896415253714	166.611021677685	54.3245164198644	54.3245164198644
8.53127535261343	166.573672456479	54.5813333761722	54.5813333761722
8.65536561006143	166.533664032108	54.8384547468977	54.8384547468977
8.7812608018665	166.490981272771	55.0958880592983	55.0958880592983
8.90898718140339	166.445608189855	55.3536411651783	55.3536411651783
9.03857138391101	166.397527910459	55.6117222509173	55.6117222509173
9.17004043204671	166.346722648604	55.8701398479772	55.8701398479772
9.30342174152147	166.293173675035	56.1289028439102	56.1289028439102
9.43874312681693	166.236861285513	56.3880204938922	56.3880204938922
9.57603280698574	166.177764767504	56.647502432808	56.647502432808
9.71531941153606	166.115862365144	56.9073586879142	56.9073586879142
9.85663198640188	166.051131242375	57.1675996921108	57.1675996921108
10	165.983547444112	57.4282362978516	57.4282362978516
10.1454533493752	165.913085855314	57.6892797917257	57.6892797917257
10.2930223664349	165.839720157815	57.9507419097465	57.9507419097465
10.4427378242741	165.76342278475	58.2126348533847	58.2126348533847
10.594630943593	165.684164872427	58.4749713063847	58.4749713063847
10.748733399207	165.601916209446	58.7377644524078	58.7377644524078
10.9050773266526	165.516645182879	59.0010279935458	59.0010279935458
11.0636953288883	165.428318721315	59.2647761697551	59.2647761697551
11.2246204830937	165.336902234522	59.529023779261	59.529023779261
11.3878863475669	165.242359549504	59.7937861999877	59.7937861999877
11.5535269687227	165.144652842683	60.0590794120729	60.0590794120729
11.7215768881925	165.043742567928	60.3249200215296	60.3249200215296
11.8920711500272	164.939587380109	60.5913252851219	60.5913252851219
12.0650453080052	164.832144053878	60.858313136527	60.858313136527
12.2405354330466	164.721367397276	61.1259022138605	61.1259022138605
12.4185781207348	164.607210159814	61.3941118886469	61.3941118886469
12.5992104989487	164.489622934577	61.6629622963243	61.6629622963243
12.7824702356043	164.36855405391	61.9324743683784	61.9324743683784
12.9683955465101	164.243949478171	62.2026698662076	62.2026698662076
13.1570252033364	164.115752677014	62.4735714168284	62.4735714168284
13.3483985417003	163.98390450261	62.7452025505398	62.7452025505398
13.5425554693689	163.84834305414	63.0175877406734	63.0175877406734
13.7395364745809	163.70900353287	63.2907524455653	63.2907524455653
13.93938263449	163.565818087025	63.5647231528977	63.5647231528977
14.142135623731	163.418715645605	63.8395274265686	63.8395274265686
14.34783772311	163.267621740222	64.1151939562613	64.1151939562613
14.5565318284219	163.112458313928	64.3917526098986	64.3917526098986
14.768261459395	162.953143515923	64.6692344891814	64.6692344891814
14.9830707687668	162.789591480887	64.9476719884293	64.9476719884293
15.2010045514911	162.621712091602	65.227098856955	65.227098856955
15.4221082540794	162.449410723339	65.5075502652291	65.5075502652291
15.6464279840777	162.27258796838	65.7890628751078	65.7890628751078
15.874010519682	162.091139338828	66.071674914423	66.071674914423
16.1049033194925	161.904954945684	66.3554262562583	66.3554262562583
16.339154532411	161.713919151959	66.6403585032629	66.6403585032629
16.5768130076809	161.517910197326	66.9265150773853	66.9265150773853
16.8179283050743	161.316799791539	67.2139413154443	67.2139413154443
17.0625507052269	161.110452673567	67.5026845709892	67.5026845709892
17.3107312201229	160.898726132996	67.7927943229451	67.7927943229451
17.562521603733	160.681469489881	68.0843222915797	68.0843222915797
17.8179743628068	160.458523528793	68.377322562383	68.377322562383
18.077142767822	160.229719882253	68.6718517184995	68.6718517184995
18.3400808640934	159.994880358227	68.9679689824176	68.9679689824176
18.6068434830429	159.753816205637	69.2657363676834	69.2657363676834
18.8774862536339	159.506327311152	69.5652188414802	69.5652188414802
19.1520656139715	159.252201319625	69.8664844989966	69.8664844989966
19.4306388230721	158.991212669577	70.1696047505912	70.1696047505912
19.7132639728038	158.723121534033	70.4746545228637	70.4746545228637
20	158.447672655686	70.7817124748467	70.7817124748467
20.2909066987505	158.164594063916	71.0908612306542	71.0908612306542
20.5860447328698	157.873595659481	71.4021876300522	71.4021876300522
20.8854756485483	157.574367650722	71.715782998561	71.715782998561
21.1892618871859	157.26657882283	72.0317434388608	72.0317434388608
21.4974667984139	156.949874619113	72.3501701454432	72.3501701454432
21.8101546533052	156.623875010083	72.6711697446466	72.6711697446466
22.1273906577767	156.288172122625	72.9948546624209	72.9948546624209
22.4492409661875	155.942327597294	73.3213435223969	73.3213435223969
22.7757726951338	155.585869636924	73.6507615770867	73.6507615770867
23.1070539374455	155.218289703898	73.9832411753046	73.9832411753046
23.443153776385	154.839038816736	74.3189222691942	74.3189222691942
23.7841423000544	154.447523388577	74.6579529645451	74.6579529645451
24.1300906160104	154.043100540707	75.0004901184086	75.0004901184086
24.4810708660931	153.625072813061	75.3466999883512	75.3466999883512
24.8371562414697	153.192682180218	75.6967589380109	75.6967589380109
25.1984209978975	152.745103265527	76.0508542039442	76.0508542039442
25.5649404712086	152.2814356269	76.4091847290322	76.4091847290322
25.9367910930202	151.80069496494	76.7719620679409	76.7719620679409
26.3140504066728	151.301803076567	77.1394113702488	77.1394113702488
26.6967970834007	150.783576344076	77.5117724468173	77.5117724468173
27.0851109387379	150.24471250941	77.8893009246891	77.8893009246891
27.4790729491618	149.683775434645	78.2722694951487	78.2722694951487
27.87876526898	149.099177490375	78.6609692583944	78.6609692583944
28.2842712474619	148.48915914129	79.0557111663159	79.0557111663159
28.69567544622	147.851765209689	79.4568275618129	79.4568275618129
29.1130636568437	147.184817189148	79.8646738084605	79.8646738084605
29.53652291879	146.485880847169	80.279629997454	80.279629997454
29.9661415375336	145.752228191628	80.7021027087237	80.7021027087237
30.4020091029823	144.980792673733	81.132526788547	81.132526788547
30.8442165081588	144.168116251329	81.5713670850294	81.5713670850294
31.2928559681555	143.310286630051	82.0191200527563	82.0191200527563
31.748021039364	142.402862623725	82.4763150948989	82.4763150948989
32.2098066389851	141.440785115902	82.9435154495537	82.9435154495537
32.678309064822	140.418270547213	83.421318339185	83.421318339185
33.1536260153617	139.328683186442	83.9103539763462	83.9103539763462
33.6358566101486	138.16438166148	84.4112828390011	84.4112828390011
34.1251014104537	136.916534340768	84.9247903712858	84.9247903712858
34.6214624402457	135.574897211487	85.4515778968881	85.4515778968881
35.125043207466	134.12754700861	85.9923480048599	85.9923480048599
35.6359487256136	132.560561743385	86.5477819152369	86.5477819152369
36.154285535644	130.857640919764	87.1185052640448	87.1185052640448
36.6801617281868	128.999659469851	87.7050372466291	87.7050372466291
37.2136869660859	126.964154333367	88.3077159845352	88.3077159845352
37.7549725072677	124.724753365514	88.926590196734	88.926590196734
38.3041312279429	122.250577483621	89.5612637013305	89.5612637013305
38.8612776461442	119.505686115954	90.2106751520643	90.2106751520643
39.4265279456075	116.44870438653	90.8727915928698	90.8727915928698
40	113.032883130261	91.5441932187153	91.5441932187153
40.581813397501	109.207014708533	92.2195333150836	92.2195333150836
41.1720894657397	104.91785914215	92.8908815681675	92.8908815681675
41.7709512970966	100.114976227059	93.5470165169652	93.5470165169652
42.3785237743718	94.7589414021477	94.1728416345931	94.1728416345931
42.9949335968278	88.8334799581523	94.749261084393	94.749261084393
43.6203093066103	82.3605568542766	95.254008868338	95.254008868338
44.2547813155533	75.414647438469	95.6639133673377	95.6639133673377
44.8984819323749	68.1292906727656	95.9586572637119	95.9586572637119
45.5515453902677	60.6885576832441	96.1251992692369	96.1251992692369
46.2141078748909	53.3013466612634	96.1611482009766	96.1611482009766
46.88630755277	46.1659857154346	96.0754292619513	96.0754292619513
47.5682846001088	39.4390511425368	95.8858848728987	95.8858848728987
48.2601812320209	33.2194380553591	95.6150533139957	95.6150533139957
48.9621417321862	27.549382361886	95.2859722491672	95.2859722491672
49.6743124829394	22.4264905644912	94.9192571483246	94.9192571483246
50.3968419957949	17.8191427164513	94.5317214954292	94.5317214954292
51.1298809424172	13.6801053600227	94.1361703577372	94.1361703577372
51.8735821860404	9.95636690691585	93.7418442950743	93.7418442950743
52.6281008133455	6.59526519454004	93.3551048988237	93.3551048988237
53.3935941668014	3.54779321174582	92.9801254272343	92.9801254272343
54.1702218774757	0.770047960414877	92.619482581682	92.619482581682
54.9581458983236	-1.77641792291888	92.2746224210832	92.2746224210832
55.75753053796	-4.12482866974014	91.9462092847667	91.9462092847667
56.5685424949238	-6.30368726933935	91.6343789782948	91.6343789782948
57.39135089244	-8.33736780178382	91.3389186649679	91.3389186649679
58.2261273136875	-10.2467040680723	91.0593927699909	91.0593927699909
59.07304583758	-12.0495300577276	90.7952300419591	90.7952300419591
