Frequency [Hz]	Impedance Phase [deg]	Impedance Magnitude [ohm]
5	4.45245062623251	5.53755833355274
5.07272667468762	4.50990230023078	5.5387713583251
5.14651118321746	4.56813436001447	5.54000462992573
5.22136891213707	4.6271578670542	5.54125859037019
5.29731547179648	4.68698406669443	5.54253369339735
5.37436669960348	4.74762439226396	5.54383040484051
5.45253866332629	4.80909046932508	5.54514920301252
5.53184766444417	4.87139412006763	5.54649057910525
5.61231024154687	4.93454736785475	5.54785503760435
5.69394317378346	4.99856244192691	5.54924309671969
5.77676348436136	5.06345178227193	5.55065528883255
5.86078844409626	5.1292280446684	5.55209216096007
5.9460355750136	5.19590410591075	5.55355427523797
6.03252265400261	5.26349306922455	5.55504220942232
6.12026771652328	5.33200826988109	5.55655655741131
6.20928906036742	5.40146328102065	5.55809792978803
6.29960524947437	5.47187191969473	5.55966695438525
6.39123511780215	5.54324825313771	5.56126427687333
6.48419777325505	5.61560660527926	5.56289056137242
6.57851260166819	5.6889615635094	5.56454649109015
6.67419927085017	5.76332798570857	5.56623276898621
6.77127773468446	5.83872100755631	5.56795011846511
6.86976823729045	5.9151560501322	5.56969928409864
6.969691317245	5.99264882782428	5.57148103237958
7.07106781186548	6.0712153565604	5.57329615250844
7.173918861555	6.15087196237928	5.57514545721475
7.27826591421094	6.231635290359	5.57702978361511
7.3841307296975	6.31352231392136	5.57894999410975
7.49153538438341	6.39655034453232	5.58090697731985
7.60050227574557	6.48073704181917	5.58290164906794
7.7110541270397	6.56610042412708	5.58493495340377
7.82321399203887	6.65265887953851	5.58700786367814
7.937005259841	6.74043117738076	5.58912138366777
8.05245165974627	6.82943648024839	5.59127654875383
8.1695772662055	6.91969435656899	5.59347442715752
8.28840650384044	7.01122479374242	5.59571612123606
8.40896415253714	7.10404821188593	5.59800276884262
8.53127535261343	7.19818547821914	5.60033554475428
8.65536561006143	7.29365792212573	5.60271566217199
8.7812608018665	7.39048735093034	5.60514437429712
8.90898718140339	7.48869606643255	5.60762297598938
9.03857138391101	7.58830688224183	5.61015280551133
9.17004043204671	7.68934314196099	5.61273524636488
9.30342174152147	7.79182873826821	5.61537172922596
9.43874312681693	7.89578813295193	5.61806373398358
9.57603280698574	8.00124637795579	5.62081279189035
9.71531941153606	8.10822913749552	5.62362048783184
9.85663198640188	8.21676271131357	5.62648846272292
10	8.32687405914218	5.62941841603964
